ExpenseID,PropertyID,SalesID,ExpenseDate,Year,Month,ExpenseCategory,ExpenseType,ExpenseDescription,ExpenseAmount,TaxAmount,TotalExpenseAmount,PaidBy,AllocatedTo,PaymentMode,ExpenseStatus
1,2346,369,2024-04-09,2024,4,Maintenance,Fixed,Operational Expense,51191,9214,60405,Company,Sale,Cheque,Pending
2,4909,957,2025-03-23,2025,3,Admin,Variable,Operational Expense,174454,31401,205855,Owner,Property,Cash,Pending
3,1424,2315,2022-07-25,2022,7,Maintenance,Fixed,Operational Expense,137945,24830,162775,Owner,Sale,Cash,Pending
4,1420,956,2024-02-01,2024,2,Maintenance,Variable,Operational Expense,91510,16471,107981,Agent,Property,Online,Pending
5,4260,1452,2025-05-21,2025,5,Admin,Variable,Operational Expense,130615,23510,154125,Agent,Sale,Cash,Approved
6,3776,2461,2022-08-18,2022,8,Marketing,Fixed,Operational Expense,60451,10881,71332,Owner,Sale,Cheque,Approved
7,3188,1264,2023-07-25,2023,7,Maintenance,Fixed,Operational Expense,100418,18075,118493,Company,Property,Cheque,Pending
8,2819,1425,2022-10-08,2022,10,Marketing,Variable,Operational Expense,144143,25945,170088,Agent,Property,Online,Approved
9,36,2434,2024-08-21,2024,8,Maintenance,Variable,Operational Expense,155324,27958,183282,Company,Sale,Cheque,Pending
10,3471,2246,2023-03-03,2023,3,Maintenance,Fixed,Operational Expense,190818,34347,225165,Company,Sale,Online,Approved
11,2926,809,2022-12-05,2022,12,Admin,Variable,Operational Expense,9931,1787,11718,Company,Sale,Online,Approved
12,4917,1092,2024-11-23,2024,11,Brokerage,Variable,Operational Expense,164218,29559,193777,Company,Sale,Cash,Pending
13,3465,2283,2024-08-10,2024,8,Legal,Variable,Operational Expense,118812,21386,140198,Agent,Sale,Cheque,Pending
14,4728,1283,2022-02-04,2022,2,Legal,Fixed,Operational Expense,22001,3960,25961,Owner,Property,Cash,Pending
15,2073,2262,2023-10-08,2023,10,Maintenance,Variable,Operational Expense,91090,16396,107486,Owner,Sale,Cash,Approved
16,3783,1910,2023-12-11,2023,12,Maintenance,Variable,Operational Expense,198811,35785,234596,Agent,Sale,Cheque,Approved
17,2725,2069,2024-02-21,2024,2,Maintenance,Variable,Operational Expense,100443,18079,118522,Company,Property,Online,Approved
18,3596,157,2025-01-04,2025,1,Marketing,Variable,Operational Expense,145983,26276,172259,Owner,Property,Cash,Pending
19,664,1997,2023-01-30,2023,1,Marketing,Fixed,Operational Expense,140355,25263,165618,Company,Sale,Online,Approved
20,4859,1910,2025-01-09,2025,1,Brokerage,Fixed,Operational Expense,128226,23080,151306,Company,Property,Cheque,Approved
