LeadID,CustomerID,AgentID,LeadCreatedDate,FirstContactDate,LastFollowUpDate,LeadSource,LeadType,LeadStatus,InterestedPropertyType,PreferredCity,BudgetMin,BudgetMax,ConvertedToSale,ConvertedToLease,ConversionDate
1,408,43,2023-01-04,2023-01-06,2023-01-19,Walk-in,Buy,New,Plot,Ahmedabad,3228210,12997813,Yes,Yes,2023-02-03
2,47,73,2025-07-20,2025-07-22,2025-08-04,Website,Rent,In Progress,Villa,Pune,4753180,7296648,No,No,
3,888,45,2022-05-18,2022-05-20,2022-06-02,Website,Rent,Lost,Apartment,Delhi,2033040,18565763,No,No,
4,328,63,2021-12-28,2021-12-30,2022-01-12,Ads,Rent,Closed,Plot,Pune,2286245,10866296,No,No,
5,619,53,2024-09-18,2024-09-20,2024-10-03,Ads,Buy,In Progress,Apartment,Pune,4152004,6138778,No,No,
6,672,40,2025-11-08,2025-11-10,2025-11-23,Website,Rent,New,Plot,Bangalore,3309630,7192292,Yes,No,2025-12-08
7,3,49,2021-02-22,2021-02-24,2021-03-09,Walk-in,Buy,In Progress,Apartment,Delhi,4808135,16265615,No,No,
8,670,17,2022-01-16,2022-01-18,2022-01-31,Referral,Buy,New,Plot,Chennai,4076468,6248755,Yes,Yes,2022-02-15
9,779,91,2025-01-01,2025-01-03,2025-01-16,Walk-in,Rent,Lost,Villa,Pune,2809468,6937193,Yes,Yes,2025-01-31
10,119,56,2025-03-03,2025-03-05,2025-03-18,Ads,Buy,New,Villa,Chennai,3135836,14295246,Yes,No,2025-04-02
11,224,12,2021-04-23,2021-04-25,2021-05-08,Website,Buy,Closed,Apartment,Hyderabad,4207402,12653137,Yes,No,2021-05-23
12,224,19,2021-12-01,2021-12-03,2021-12-16,Walk-in,Buy,New,Villa,Pune,2597725,19145583,Yes,Yes,2021-12-31
13,652,95,2023-12-19,2023-12-21,2024-01-03,Walk-in,Buy,Lost,Apartment,Pune,3516975,19145261,No,No,
14,148,50,2021-04-28,2021-04-30,2021-05-13,Website,Rent,Lost,Apartment,Ahmedabad,2310506,10603958,No,No,
15,680,76,2025-10-24,2025-10-26,2025-11-08,Ads,Buy,New,Plot,Pune,4111088,7661268,No,No,
16,340,24,2025-10-27,2025-10-29,2025-11-11,Website,Buy,Closed,Villa,Chennai,2482074,16172363,No,No,
17,122,51,2024-03-23,2024-03-25,2024-04-07,Referral,Rent,Closed,Apartment,Bangalore,2189335,12211770,Yes,No,2024-04-22
18,677,15,2025-10-24,2025-10-26,2025-11-08,Ads,Buy,New,Apartment,Pune,2205623,7924650,No,No,
19,586,12,2024-01-08,2024-01-10,2024-01-23,Referral,Rent,New,Villa,Hyderabad,4404489,6776717,No,No,
20,654,22,2023-12-04,2023-12-06,2023-12-19,Ads,Buy,New,Plot,Hyderabad,3305054,18066856,No,No,
21,515,87,2025-01-04,2025-01-06,2025-01-19,Walk-in,Buy,New,Plot,Pune,4031120,7636657,Yes,Yes,2025-02-03
22,211,23,2021-04-20,2021-04-22,2021-05-05,Walk-in,Rent,Lost,Apartment,Ahmedabad,4426688,11122871,No,No,
