LeaseID,PropertyID,AgentID,CustomerID,LeaseStartDate,LeaseEndDate,AgreementDate,MonthlyRent,SecurityDeposit,MaintenanceCharge,BrokerageAmount,BrokeragePercent,LeaseTenureMonths,RentEscalationPercent,LockInPeriodMonths,NoticePeriodDays,LeaseType,LeaseStatus,PaymentFrequency
1,2480,16,602,2024-03-07,2026-02-25,2024-02-26,21711,89301,6631,20782,1,24,10,11,30,Commercial,Active,Monthly
2,1619,23,253,2023-05-19,2026-05-03,2023-05-09,18208,143271,2664,37070,2,36,10,6,30,Residential,Expired,Quarterly
3,4631,81,24,2022-05-12,2025-04-26,2022-05-02,22738,131943,4937,21353,1,36,5,11,60,Commercial,Active,Quarterly
4,456,1,433,2024-10-08,2026-09-28,2024-09-28,41034,196831,4059,32001,1,24,10,6,30,Residential,Active,Quarterly
5,3243,83,299,2022-04-04,2023-02-28,2022-03-25,19685,177040,2704,42523,1,11,5,6,30,Commercial,Expired,Quarterly
6,2979,39,976,2024-04-22,2027-04-07,2024-04-12,19207,130527,2403,48369,2,36,5,11,60,Residential,Expired,Quarterly
7,3359,61,610,2023-08-12,2026-07-27,2023-08-02,69141,139945,6873,47040,2,36,5,6,30,Commercial,Expired,Quarterly
8,4207,26,917,2021-03-20,2024-03-04,2021-03-10,42000,131662,2860,42989,1,36,10,6,60,Commercial,Expired,Quarterly
9,2400,50,855,2022-03-02,2025-02-14,2022-02-20,19263,191229,7416,38153,2,36,10,6,60,Commercial,Expired,Quarterly
10,3035,8,461,2024-10-12,2025-09-07,2024-10-02,42253,53337,5070,31398,2,11,10,6,30,Commercial,Active,Quarterly
11,4914,96,576,2021-08-15,2023-08-05,2021-08-05,52193,85022,5078,45105,1,24,5,11,30,Residential,Active,Monthly
12,1702,60,250,2024-01-19,2026-01-08,2024-01-09,39357,174429,7254,17357,2,24,5,6,30,Residential,Expired,Quarterly
13,4576,70,339,2022-10-14,2023-09-09,2022-10-04,42840,34270,7344,35166,2,11,10,11,60,Residential,Active,Monthly
14,1857,94,97,2024-09-29,2027-09-14,2024-09-19,24974,36660,7905,39449,1,36,10,11,30,Residential,Active,Quarterly
15,4633,12,170,2023-11-05,2025-10-25,2023-10-26,59088,186911,6278,31803,2,24,10,11,30,Commercial,Expired,Monthly
16,2590,45,946,2022-05-23,2025-05-07,2022-05-13,35450,177553,2484,28064,2,36,5,11,30,Residential,Active,Quarterly
17,320,52,912,2021-11-04,2022-09-30,2021-10-25,58352,136692,3304,20770,1,11,10,11,30,Residential,Expired,Quarterly
18,3231,76,11,2023-07-11,2026-06-25,2023-07-01,19009,186394,5335,31079,2,36,5,6,30,Residential,Expired,Monthly
19,2241,54,814,2021-04-08,2023-03-29,2021-03-29,46142,133752,4582,12314,1,24,5,11,30,Commercial,Expired,Quarterly
20,4824,36,738,2024-10-11,2025-09-06,2024-10-01,36024,150243,5525,39457,2,11,5,6,60,Residential,Active,Monthly
21,826,31,858,2023-05-11,2024-04-05,2023-05-01,68636,117976,7961,18087,2,11,5,6,30,Residential,Expired,Monthly
22,1954,42,989,2022-02-28,2024-02-18,2022-02-18,38020,81099,5676,33665,2,24,10,11,30,Commercial,Expired,Monthly
23,1649,66,617,2021-10-12,2023-10-02,2021-10-02,45569,164027,3044,47414,2,24,5,6,30,Commercial,Expired,Monthly
24,3093,25,769,2023-06-09,2026-05-24,2023-05-30,58230,143834,4525,46575,1,36,5,11,30,Commercial,Expired,Quarterly
25,4928,71,910,2022-01-15,2024-01-05,2022-01-05,35699,120291,3989,16696,2,24,10,11,60,Residential,Active,Quarterly
26,1496,13,803,2024-09-24,2026-09-14,2024-09-14,41659,159449,2098,30622,2,24,10,11,30,Commercial,Active,Quarterly
27,3288,96,653,2021-06-23,2024-06-07,2021-06-13,36979,54252,4915,16704,2,36,5,6,60,Residential,Active,Monthly
28,2174,3,268,2021-06-16,2022-05-12,2021-06-06,48706,115309,3840,48784,1,11,5,11,30,Commercial,Expired,Monthly
29,2613,80,502,2021-04-15,2024-03-30,2021-04-05,47282,101937,6403,12280,1,36,10,6,60,Residential,Active,Quarterly
30,2680,35,407,2022-11-27,2023-10-23,2022-11-17,67600,192179,3798,42853,1,11,5,6,30,Residential,Active,Monthly
31,3653,27,337,2024-05-05,2025-03-31,2024-04-25,23736,103676,6500,36438,2,11,5,6,30,Residential,Expired,Monthly
32,1608,26,26,2021-03-11,2023-03-01,2021-03-01,63309,76444,4895,41224,1,24,5,11,60,Commercial,Expired,Monthly
33,4430,62,34,2021-09-26,2022-08-22,2021-09-16,61640,81075,6886,25194,2,11,5,6,30,Commercial,Active,Monthly
34,4419,37,675,2022-01-18,2022-12-14,2022-01-08,68601,92843,7162,42617,1,11,10,6,60,Commercial,Expired,Monthly
