PropertyID,PropertyCode,PropertyType,PropertyCategory,BuilderID,City,State,Country,Area,BuiltUpAreaSqFt,Bedrooms,Bathrooms,ParkingSlots,Facing,BasePrice,PricePerSqFt,TotalPropertyValue,LaunchDate,PossessionDate,ListingDate,AvailabilityStatus,FurnishingStatus,PropertyAgeYears,AgentID,OwnerID,Amenities,PropertyRating,PropertyStatus
1,PRJ-APT-0001,Villa,Residential,17,Ahmedabad,Gujarat,India,Ahmedabad Area,2316,2,3,1,East,25128600,10850,25128600,2022-05-23,2023-06-21,2022-10-30,Yes,Fully,2,45,522,"Pool,Gym,Lift",3.5,Sold
2,PRJ-APT-0002,Apartment,Residential,4,Chennai,Tamil Nadu,India,Chennai Area,1884,3,1,0,West,12261072,6508,12261072,2019-09-08,2023-12-30,2024-10-02,Yes,Fully,10,57,555,"Pool,Gym,Lift",3.9,Sold
3,PRJ-APT-0003,Plot,Residential,15,Delhi,Delhi,India,Delhi Area,1741,4,1,0,East,19587991,11251,19587991,2020-11-30,2022-12-03,2023-03-22,No,Semi,2,80,50,"Pool,Gym,Lift",3.3,Under Construction
4,PRJ-APT-0004,Apartment,Residential,2,Hyderabad,Telangana,India,Hyderabad Area,1170,4,3,0,North,12048660,10298,12048660,2022-07-16,2024-05-06,2024-02-17,No,Semi,5,87,756,"Pool,Gym,Lift",3.1,Available
5,PRJ-APT-0005,Villa,Residential,20,Ahmedabad,Gujarat,India,Ahmedabad Area,1647,5,4,0,East,8523225,5175,8523225,2022-08-22,2023-07-27,2024-01-14,No,Fully,6,13,936,"Pool,Gym,Lift",4,Leased
6,PRJ-APT-0006,Villa,Residential,10,Delhi,Delhi,India,Delhi Area,1121,1,1,2,West,8894014,7934,8894014,2019-11-13,2022-09-18,2025-05-25,Yes,Unfurnished,4,74,799,"Pool,Gym,Lift",3.1,Sold
7,PRJ-APT-0007,Apartment,Residential,13,Hyderabad,Telangana,India,Hyderabad Area,1555,4,4,0,North,13690220,8804,13690220,2019-10-19,2025-05-25,2024-12-07,Yes,Semi,3,44,174,"Pool,Gym,Lift",4.7,Leased
8,PRJ-APT-0008,Apartment,Residential,8,Delhi,Delhi,India,Delhi Area,2210,1,3,1,East,22791730,10313,22791730,2021-07-02,2022-05-31,2021-10-29,Yes,Semi,3,8,629,"Pool,Gym,Lift",3.7,Leased
9,PRJ-APT-0009,Plot,Residential,12,Chennai,Tamil Nadu,India,Chennai Area,1894,1,3,1,East,19862378,10487,19862378,2021-01-04,2024-07-16,2025-09-29,Yes,Unfurnished,8,99,13,"Pool,Gym,Lift",4.7,Leased
10,PRJ-APT-0010,Apartment,Residential,2,Hyderabad,Telangana,India,Hyderabad Area,2172,3,1,2,West,20054076,9233,20054076,2022-09-22,2025-01-16,2023-08-25,No,Unfurnished,5,92,739,"Pool,Gym,Lift",4.9,Under Construction
11,PRJ-APT-0011,Plot,Residential,10,Chennai,Tamil Nadu,India,Chennai Area,608,2,3,0,East,4994720,8215,4994720,2022-12-14,2025-09-13,2021-02-16,No,Unfurnished,10,65,46,"Pool,Gym,Lift",3.2,Leased
12,PRJ-APT-0012,Villa,Residential,5,Hyderabad,Telangana,India,Hyderabad Area,1877,4,2,1,East,18443402,9826,18443402,2022-08-13,2023-09-18,2022-09-24,Yes,Fully,0,77,395,"Pool,Gym,Lift",4,Available
