SalesID,PropertyID,AgentID,CustomerID,SaleDate,AgreementDate,RegistrationDate,PropertyType,City,BasePrice,DiscountAmount,FinalSalePrice,GSTAmount,RegistrationCharges,TotalDealValue,CommissionPercent,CommissionAmount,SaleType,PaymentType,LoanRequired,BankName,LoanAmount,DownPaymentAmount,State,ProjectName,SaleStatus
1,978,52,223,2023-06-13,2023-05-24,2023-06-28,Villa,Bangalore,8175098,453391,7721707,386085,463302,8571094,1,77217,Resale,Loan,Yes,Axis,3898640,2728220,Telangana,Emerald Residency,Lead
2,3709,74,350,2024-03-08,2024-02-17,2024-03-23,Plot,Pune,17487260,235585,17251675,862583,1035100,19149358,2,345033,Resale,Loan,Yes,Kotak,5353020,3528817,Telangana,Greenfield Residency,Booked
3,2213,26,301,2021-06-16,2021-05-27,2021-07-01,Plot,Chennai,19568529,324836,19243693,962184,1154621,21360498,2,384873,Resale,Mixed,Yes,SBI,6204978,1950490,Gujarat,Emerald Enclave,Booked
4,4522,30,909,2022-04-04,2022-03-15,2022-04-19,Apartment,Mumbai,14510387,398364,14112023,705601,846721,15664345,1,141120,New Sale,Loan,Yes,HDFC,1107523,2663897,Telangana,Sunrise Vista,Agreement Signed
5,3031,57,990,2024-07-01,2024-06-11,2024-07-16,Villa,Hyderabad,12475199,191825,12283374,614168,737002,13634544,1,122833,Resale,Loan,No,HDFC,6226588,2093459,Maharashtra,Urban Homes,Booked
6,162,45,980,2025-03-04,2025-02-12,2025-03-19,Apartment,Pune,19774854,124921,19649933,982496,1178995,21811424,1,196499,Resale,Loan,No,Kotak,1547682,4080544,Delhi,Elite Park,Site Visit
7,2596,82,354,2022-06-14,2022-05-25,2022-06-29,Plot,Chennai,16849019,499937,16349082,817454,980944,18147480,3,490472,New Sale,Cash,No,ICICI,7152265,4806334,Telangana,Palm Garden,Cancelled
8,3041,85,592,2021-06-07,2021-05-18,2021-06-22,Villa,Hyderabad,18918147,240077,18678070,933903,1120684,20732657,3,560342,New Sale,Mixed,Yes,ICICI,8362697,3734841,Telangana,Skyline Residency,Lead
9,4889,36,446,2023-03-22,2023-03-02,2023-04-06,Villa,Delhi,5631486,294624,5336862,266843,320211,5923916,3,160105,Resale,Cash,Yes,HDFC,1196922,1747815,Karnataka,Emerald Vista,Cancelled
10,1616,76,661,2023-08-14,2023-07-25,2023-08-29,Apartment,Chennai,8575590,404618,8170972,408548,490258,9069778,1,81709,New Sale,Cash,No,SBI,4468097,3492506,Tamil Nadu,Palm Towers,Booked
11,3672,11,274,2021-07-16,2021-06-26,2021-07-31,Apartment,Bangalore,16709002,60965,16648037,832401,998882,18479320,1,166480,Resale,Cash,No,ICICI,4987795,3970791,Maharashtra,Emerald Homes,Site Visit
12,2616,7,472,2022-01-24,2022-01-04,2022-02-08,Apartment,Pune,6334302,363260,5971042,298552,358262,6627856,3,179131,New Sale,Loan,Yes,HDFC,8854055,1150444,Karnataka,Urban Park,Booked
13,2050,39,802,2022-01-10,2021-12-21,2022-01-25,Villa,Chennai,19923740,29842,19893898,994694,1193633,22082225,1,198938,New Sale,Cash,Yes,HDFC,8639003,2305295,Karnataka,Skyline Park,Registered
14,746,44,797,2023-02-18,2023-01-29,2023-03-05,Apartment,Pune,15521193,329287,15191906,759595,911514,16863015,3,455757,New Sale,Loan,Yes,HDFC,7878991,1754723,Maharashtra,Urban Heights,Lost
15,1475,65,693,2021-05-03,2021-04-13,2021-05-18,Plot,Pune,15106049,286631,14819418,740970,889165,16449553,1,148194,Resale,Mixed,No,Axis,1519602,1352446,Telangana,Emerald Enclave,Booked
16,2913,40,569,2022-06-21,2022-06-01,2022-07-06,Apartment,Delhi,11016216,461598,10554618,527730,633277,11715625,2,211092,Resale,Loan,No,Kotak,8688356,2091707,Maharashtra,Emerald Residency,Agreement Signed
17,1176,25,940,2023-10-17,2023-09-27,2023-11-01,Apartment,Chennai,19192199,311411,18880788,944039,1132847,20957674,1,188807,Resale,Cash,Yes,HDFC,3121126,571923,Telangana,Urban Enclave,Cancelled
18,354,93,396,2022-01-10,2021-12-21,2022-01-25,Apartment,Delhi,16097873,479715,15618158,780907,937089,17336154,3,468544,Resale,Cash,No,ICICI,4609894,3343988,Tamil Nadu,Urban Park,Registered
